"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1527","testSignIn","ParallelBrowserSuite","Wed Sep 17 13:16:11 IST 2025","broken","Wed Sep 17 13:16:12 IST 2025","tests.Test_2","ChromeTest","tests.Test_2","testSignIn"
"","6433","testFindOwner","ParallelBrowserSuite","Wed Sep 17 13:18:08 IST 2025","passed","Wed Sep 17 13:18:14 IST 2025","tests.Test_5","ChromeTest","tests.Test_5","testFindOwner"
"","1033","testSignIn","ParallelBrowserSuite","Wed Sep 17 13:16:16 IST 2025","broken","Wed Sep 17 13:16:17 IST 2025","tests.Test_2","FirefoxTest","tests.Test_2","testSignIn"
"","15129","testCheckoutFlow","ParallelBrowserSuite","Wed Sep 17 13:16:46 IST 2025","passed","Wed Sep 17 13:17:01 IST 2025","tests.Test_4","ChromeTest","tests.Test_4","testCheckoutFlow"
"","2125","testFindOwner","ParallelBrowserSuite","Wed Sep 17 13:17:36 IST 2025","passed","Wed Sep 17 13:17:38 IST 2025","tests.Test_5","FirefoxTest","tests.Test_5","testFindOwner"
"","4958","testSignUp","ParallelBrowserSuite","Wed Sep 17 13:15:45 IST 2025","passed","Wed Sep 17 13:15:50 IST 2025","tests.Test_1","ChromeTest","tests.Test_1","testSignUp"
"","948","testProductSearch","ParallelBrowserSuite","Wed Sep 17 13:16:24 IST 2025","passed","Wed Sep 17 13:16:25 IST 2025","tests.Test_3","ChromeTest","tests.Test_3","testProductSearch"
"","3954","testSignUp","ParallelBrowserSuite","Wed Sep 17 13:16:03 IST 2025","passed","Wed Sep 17 13:16:07 IST 2025","tests.Test_1","ChromeTest","tests.Test_1","testSignUp"
"","890","testProductSearch","ParallelBrowserSuite","Wed Sep 17 13:16:26 IST 2025","passed","Wed Sep 17 13:16:26 IST 2025","tests.Test_3","ChromeTest","tests.Test_3","testProductSearch"
"","956","testProductSearch","ParallelBrowserSuite","Wed Sep 17 13:16:27 IST 2025","passed","Wed Sep 17 13:16:28 IST 2025","tests.Test_3","ChromeTest","tests.Test_3","testProductSearch"
